0.24 	0.24 	0.24 	0.23 	0.22 	0.21 	0.21 	0.19 	0.18 	0.18 	0.17 	0.17 	0.17 	0.18 	0.19 	0.20 	0.21 	0.22 	0.23 	0.24 	0.24 	0.24 	0.25 	0.25 	0.25 	0.24 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.25 	0.24 	0.24 	0.23 	0.23 	0.22 	0.21 	0.19 	0.18 	0.17 	0.16 	0.17 	0.17 	0.18 	0.18 	0.20 	0.22 	0.23 	0.24 	0.24 	0.25 	0.25 	0.25 	0.25 	0.25 	0.24 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.25 	0.25 	0.24 	0.24 	0.23 	0.22 	0.21 	0.19 	0.17 	0.17 	0.16 	0.16 	0.16 	0.17 	0.18 	0.20 	0.22 	0.23 	0.24 	0.25 	0.25 	0.25 	0.25 	0.25 	0.25 	0.24 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.25 	0.25 	0.25 	0.25 	0.24 	0.23 	0.21 	0.19 	0.16 	0.15 	0.14 	0.14 	0.14 	0.16 	0.17 	0.20 	0.23 	0.24 	0.25 	0.26 	0.26 	0.26 	0.26 	0.25 	0.25 	0.25 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.26 	0.26 	0.26 	0.25 	0.25 	0.24 	0.22 	0.18 	0.14 	0.14 	0.13 	0.13 	0.13 	0.14 	0.15 	0.19 	0.24 	0.25 	0.26 	0.27 	0.27 	0.26 	0.26 	0.26 	0.25 	0.25 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.26 	0.27 	0.27 	0.27 	0.27 	0.26 	0.25 	0.18 	0.10 	0.10 	0.10 	0.10 	0.10 	0.11 	0.11 	0.19 	0.27 	0.28 	0.29 	0.28 	0.28 	0.27 	0.26 	0.26 	0.25 	0.25 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.27 	0.27 	0.28 	0.28 	0.29 	0.29 	0.28 	0.17 	0.06 	0.07 	0.08 	0.08 	0.08 	0.07 	0.07 	0.19 	0.31 	0.31 	0.32 	0.30 	0.29 	0.28 	0.27 	0.26 	0.25 	0.25 	0.24 	0.24 	0.24 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.27 	0.28 	0.29 	0.31 	0.33 	0.37 	0.41 	0.51 	0.61 	0.81 	1.02 	1.02 	1.02 	0.87 	0.72 	0.59 	0.46 	0.41 	0.36 	0.33 	0.30 	0.29 	0.27 	0.26 	0.25 	0.25 	0.24 	0.24 	0.23 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.27 	0.28 	0.29 	0.33 	0.36 	0.45 	0.55 	0.85 	1.16 	1.56 	1.96 	1.96 	1.96 	1.66 	1.37 	0.99 	0.62 	0.51 	0.40 	0.35 	0.31 	0.29 	0.27 	0.26 	0.25 	0.25 	0.24 	0.24 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
0.26 	0.27 	0.28 	0.31 	0.33 	0.40 	0.46 	0.64 	0.81 	0.93 	1.05 	1.04 	1.02 	0.96 	0.90 	0.70 	0.51 	0.44 	0.37 	0.33 	0.30 	0.28 	0.27 	0.26 	0.25 	0.24 	0.24 	0.23 	0.23 	0.23 	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	
